premises,hypothesis,labels,Lexical Semantics,Logic,Domain, Lexical Semantics,Type,Knowledge,Predicate-Argument Structure,Key Elements,Premise Polarity,Hypothesis Certainty,Verb Category,Inference derivation,Common-Sense Type 1,Common-Sense Type 2
All the arrows didn’t hit the target. ,No arrow hit the target. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
All the arrows didn’t hit the target. ,Some arrows hit the target. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
Not all the arrows hit the target. ,Some arrows didn't hit the target. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Not all the arrows hit the target. ,No arrow hit the target. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
Not all the small companies were successful. ,All the big companies were successful. ,neutral,Quantifier,Negation,Artificial,,,,,,,,,,,
Not all the small companies were successful. ,Some of the small companies were not successful. ,entailment,Quantifier,Negation,Artificial,,,,,,,,,,,
Not all the small companies were successful. ,All the small companies were not successful. ,contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
Not all fresh fruits and veggies are tasty.,Some fresh veggies are not tasty. ,entailment,Quantifier,Negation,Artificial,,,,,,,,,,,
Not all fresh fruits and veggies are tasty.,Some fresh veggies are tasty.,entailment,Quantifier,Negation ,Artificial,,,,,,,,,,,
Not all fresh fruits and veggies are tasty.,All fresh fruits and veggies are not tasty. ,contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
Not all fresh fruits and veggies are tasty.,Some fresh fruits and veggies are tasty.,entailment,Quantifier,Negation,Artificial,,,,,,,,,,,
Not all fresh fruits and veggies are tasty.,Some fresh fruits and veggies are more tasty than others.,neutral,Quantifier,Negation,Artificial,,,,,,,,,,,
I don’t think he did anything wrong. ,I think he didn’t do anything wrong. ,entailment,Quantifier,Double Negation,Artificial ,,,,,,,,,,,
I don’t think he did anything wrong. ,I think he did nothing wrong. ,entailment,Quantifier,Double Negation,Artificial ,,,,,,,,,,,
I don’t think he did anything wrong. ,I think he did everything correct. ,entailment,Quantifier,Double Negation,Artificial ,,,,,,,,,,,
I don’t think he did anything wrong. ,I think he did everything wrong. ,contradiction,Aff_Adj,Double Negation,Artificial ,,,,,,,,,,,
I think he did nothing wrong. ,I think he did everything wrong. ,contradiction,Aff_Adj,Double Negation,Artificial ,,,,,,,,,,,
Everybody wants to become rich. ,Nobody doen't want to become rich. ,entailment,Quantifier,Negation ,Artificial ,,,,,,,,,,,
Everybody wants to become rich. ,Nobody doesn't want to become rich. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Nobody wants to become rich. ,Everybody wants to become rich. ,contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
Nobody doesn't make mistakes. ,Everybody makes mistakes. ,entailment,Quantifier,Negation,Artificial,,,,,,,,,,,
Nobody doesn't make mistakes. ,Everybody makes no mistakes. ,contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
Nobody makes mistakes. ,Everybody makes no mistakes. ,entailment,Quantifier,Negation,Artificial,,,,,,,,,,,
Neither of the boys understood what was happening.,Both boys didn’t understand what was happening. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Neither of boys understood what was happening.,Both understood what was happening. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
Neither of boys understood what was happening.,One of the boys understood what was happening. ,contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
Neither of boys understood what was happening.,Neither of the boys managed to understand what was happening. ,neutral,Quantifier,Negation,Artificial,,,,,,,,,,,
Neither accusation is true.,Both accusations are false. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Neither accusation is true.,Only one of the accusations is false. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
"John has two phones, but neither of them is working. ",Both John’s phones aren’t working. ,entailment,Quantifier,Negation,Artificial,,,,,,,,,,,
"John has two mobiles, but neither of them is working. ","John has two phones, but only one of them is working. ",contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
"John has two mobiles, but neither of them is working. ",Both John’s phones are working. ,contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
Nobody likes a person with a bad temper.,Some people like a person with a bad temper. ,contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
Nobody likes a person with a bad temper.,Everybody doesn’t like a person with a bad temper.,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Nobody likes a person with a bad temper.,Everybody likes a person with a good temper. ,neutral,Quantifier,Negation,Artificial,,,,,,,,,,,
Nobody likes a person with a bad temper.,Nobody likes a person with a good temper. ,neutral,Quantifier,Negation,Artificial,,,,,,,,,,,
There's no other person better qualified than Bill in computer science. ,Nobody is better qualified than Bill in computer science. ,entailment,Quantifier,Negation,Artificial,,,,,,,,,,,
There’s nobody more qualified than Bill in computer science. ,There's someone more qualified than Bill in computer science. ,contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
There’s nobody more qualified than Bill in computer science. ,Bill is the most qualified person in computer science. ,entailment,Quantifier,Negation,Artificial,,,,,,,,,,,
There’s nobody more qualified than Bill in computer science. ,Bill is the most qualified person in anything. ,neutral,Quantifier,Negation,Artificial,,,,,,,,,,,
Nobody sings better than Freddie Mercury. ,Freddie Mercury is the worst singer. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
Nobody sings better than Freddie Mercury. ,Freddie Mercury is the best singer. ,entailment,Quantifier,Negation,Artificial,,,,,,,,,,,
